#{"t_start": 1565937205.1020954, "env_id": null}
r,l,t
647.185669,1000,2029.079717
785.276304,1000,2029.081863
786.854652,1000,2029.082068
661.720141,1000,2029.082645
861.773533,1000,2029.082703
854.0981,1000,2029.083027
782.244945,1000,2029.083929
629.114663,1000,2029.090333
532.448419,1000,2046.124558
516.529905,1000,2046.127177
542.847378,1000,2046.127342
543.794192,1000,2046.12776
532.218838,1000,2046.128641
707.214227,1000,2046.130136
601.369326,1000,2046.130528
500.672219,1000,2046.133278
724.62781,1000,2063.081885
707.430866,1000,2063.082074
734.747316,1000,2063.082116
948.489728,1000,2063.082203
674.780651,1000,2063.082272
704.657723,1000,2063.082298
676.475861,1000,2063.083414
951.359361,1000,2063.085578
711.512175,1000,2080.187371
616.375789,1000,2080.18743
847.182609,1000,2080.187724
810.142178,1000,2080.188059
760.11564,1000,2080.18845
691.973033,1000,2080.188725
671.038064,1000,2080.189121
579.431936,1000,2080.189343
611.555605,1000,2096.730094
607.898591,1000,2096.733607
716.753569,1000,2096.733634
629.873747,1000,2096.733751
826.038016,1000,2096.73416
835.058695,1000,2096.734164
653.532201,1000,2096.734815
716.243077,1000,2096.741081
676.189085,1000,2114.165796
610.243948,1000,2114.166154
620.478131,1000,2114.166557
697.413005,1000,2114.166561
569.78915,1000,2114.166861
645.572213,1000,2114.167556
610.375358,1000,2114.167673
800.853165,1000,2114.169607
648.586489,1000,2132.155757
867.086512,1000,2132.16008
796.612427,1000,2132.160283
903.390527,1000,2132.160713
821.490089,1000,2132.160798
924.596942,1000,2132.160961
856.232272,1000,2132.161184
895.563346,1000,2132.170327
662.177423,1000,2149.049254
627.863858,1000,2149.049283
871.606013,1000,2149.04979
861.382177,1000,2149.049961
845.645185,1000,2149.05005
848.046312,1000,2149.050834
813.206811,1000,2149.050956
729.033642,1000,2149.051439
560.15166,1000,2165.885963
855.152767,1000,2165.886226
579.420099,1000,2165.886263
764.363897,1000,2165.8864
825.602062,1000,2165.886481
762.454263,1000,2165.886496
750.913636,1000,2165.886709
826.873827,1000,2165.887709
742.527208,1000,2182.158815
852.95929,1000,2182.160386
911.721529,1000,2182.160956
740.194954,1000,2182.161219
808.812669,1000,2182.161359
866.036235,1000,2182.161574
642.623398,1000,2182.1617
556.997738,1000,2182.163722
